DateKey,Year,Quarter,QuarterName,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,Day,DayOfWeekNum,DayName,WeekOfYear,IsWeekend
2008-12-20,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,20,6,Saturday,51,1
2008-12-21,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,21,7,Sunday,51,1
2008-12-22,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,22,1,Monday,52,0
2008-12-23,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,23,2,Tuesday,52,0
2008-12-24,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,24,3,Wednesday,52,0
2008-12-25,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,25,4,Thursday,52,0
2008-12-26,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,26,5,Friday,52,0
2008-12-27,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,27,6,Saturday,52,1
2008-12-28,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,28,7,Sunday,52,1
2008-12-29,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,29,1,Monday,1,0
2008-12-30,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,30,2,Tuesday,1,0
2008-12-31,2008,4,Q4,2008-Q4,12,December,Dec,2008-12,31,3,Wednesday,1,0
2009-01-01,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,1,4,Thursday,1,0
2009-01-02,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,2,5,Friday,1,0
2009-01-03,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,3,6,Saturday,1,1
2009-01-04,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,4,7,Sunday,1,1
2009-01-05,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,5,1,Monday,2,0
2009-01-06,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,6,2,Tuesday,2,0
2009-01-07,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,7,3,Wednesday,2,0
2009-01-08,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,8,4,Thursday,2,0
2009-01-09,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,9,5,Friday,2,0
2009-01-10,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,10,6,Saturday,2,1
2009-01-11,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,11,7,Sunday,2,1
2009-01-12,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,12,1,Monday,3,0
2009-01-13,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,13,2,Tuesday,3,0
2009-01-14,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,14,3,Wednesday,3,0
2009-01-15,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,15,4,Thursday,3,0
2009-01-16,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,16,5,Friday,3,0
2009-01-17,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,17,6,Saturday,3,1
2009-01-18,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,18,7,Sunday,3,1
2009-01-19,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,19,1,Monday,4,0
2009-01-20,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,20,2,Tuesday,4,0
2009-01-21,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,21,3,Wednesday,4,0
2009-01-22,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,22,4,Thursday,4,0
2009-01-23,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,23,5,Friday,4,0
2009-01-24,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,24,6,Saturday,4,1
2009-01-25,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,25,7,Sunday,4,1
2009-01-26,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,26,1,Monday,5,0
2009-01-27,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,27,2,Tuesday,5,0
2009-01-28,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,28,3,Wednesday,5,0
2009-01-29,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,29,4,Thursday,5,0
2009-01-30,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,30,5,Friday,5,0
2009-01-31,2009,1,Q1,2009-Q1,1,January,Jan,2009-01,31,6,Saturday,5,1
2009-02-01,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,1,7,Sunday,5,1
2009-02-02,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,2,1,Monday,6,0
2009-02-03,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,3,2,Tuesday,6,0
2009-02-04,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,4,3,Wednesday,6,0
2009-02-05,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,5,4,Thursday,6,0
2009-02-06,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,6,5,Friday,6,0
2009-02-07,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,7,6,Saturday,6,1
2009-02-08,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,8,7,Sunday,6,1
2009-02-09,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,9,1,Monday,7,0
2009-02-10,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,10,2,Tuesday,7,0
2009-02-11,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,11,3,Wednesday,7,0
2009-02-12,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,12,4,Thursday,7,0
2009-02-13,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,13,5,Friday,7,0
2009-02-14,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,14,6,Saturday,7,1
